,seconds_elapsed,z,y,x
0,0.143439697265625,-2.846007823944092,-0.5819768905639648,-0.4682464599609375
1,0.159217041015625,-2.6514663696289062,-0.5604323148727417,-0.4185569286346435
2,0.17511669921875,-2.132023811340332,-0.3661856651306152,-0.5359901189804077
3,0.190986083984375,-1.0233497619628906,-0.0410389900207519,-0.5224850177764893
4,0.206763427734375,-0.4497661590576172,0.2290151119232177,-0.3569204211235046
5,0.2226630859375,-0.7193202972412109,0.2695872783660888,-0.1578781604766845
6,0.238471435546875,-0.8109474182128906,0.145296573638916,-0.2446722388267517
7,0.25437109375,0.3405961990356445,0.1491501331329345,-0.0775878429412841
8,0.270270751953125,1.5721473693847656,0.2505974769592285,0.2889077663421631
9,0.28607861328125,2.3789119720458984,0.1962623596191406,0.649343729019165
10,0.301978271484375,2.8623199462890625,0.2037711143493652,0.3647843599319458
11,0.31790869140625,2.700389862060547,0.1471118927001953,-0.0034120082855224
12,0.333777587890625,2.1640186309814453,-0.0576871633529663,-0.409338116645813
13,0.349616455078125,2.0739917755126958,0.1451317071914672,-0.6732075810432434
14,0.365485595703125,2.3445873260498047,0.2557688951492309,-0.7290264964103699
15,0.381568359375,2.417898178100586,0.2013574838638305,0.025755763053894
16,0.397345703125,2.2820701599121094,-0.1227583885192871,0.3317008018493652
17,0.413154052734375,2.79458236694336,-0.5664655566215515,-0.0316763520240783
18,0.428992431640625,3.740675926208496,-0.9806343913078308,-0.3193126916885376
19,0.44480078125,5.018012046813965,-1.0988646745681765,0.1911458969116211
20,0.460669921875,5.592435836791992,-1.401252269744873,0.7965996861457825
21,0.47650830078125,4.933927536010742,-1.1725616455078125,1.0021618604660034
22,0.49234716796875,3.0177392959594727,-1.029299259185791,0.6576481461524963
23,0.508124755859375,1.3911638259887695,-0.858512282371521,0.0585899949073791
24,0.523902099609375,0.4463663101196289,-0.6541436314582825,-0.0492355227470397
25,0.539740966796875,-0.0041723251342773,-0.5909345746040344,0.1026353240013122
26,0.555548828125,-0.3383817672729492,-0.5866351127624512,0.3203808665275574
27,0.5713876953125,-0.974452018737793,-0.5017178058624268,0.3753707408905029
28,0.587195556640625,-1.3479938507080078,-0.400191068649292,0.2716492116451263
29,0.60300390625,-1.9393978118896484,-0.3912825584411621,0.1420627981424331
30,0.61893408203125,-2.773595333099365,-0.5027958154678345,-0.1268850117921829
31,0.634741943359375,-2.900094985961914,-0.5409516096115112,-0.3038977980613708
32,0.650611083984375,-2.399430751800537,-0.4916579723358154,-0.0929072126746177
33,0.666449951171875,-1.8817763328552248,-0.5379034280776978,0.4635798931121826
34,0.6822578125,-1.759528636932373,-0.4990006685256958,0.7412582039833069
35,0.698157470703125,-2.377007484436035,-0.392492413520813,0.2373936921358108
36,0.7139658203125,-3.094855785369873,-0.0314255952835083,-0.0821336805820465
37,0.72980419921875,-3.6786837577819824,0.1797957420349121,-0.2742119431495666
38,0.74564306640625,-3.878981590270996,0.2424015998840332,-0.2346043735742569
39,0.761481689453125,-3.156731128692627,0.2445688247680664,-0.2896977066993713
40,0.777411865234375,-1.741560935974121,0.1422576904296875,-0.3740596771240234
41,0.79325048828125,-0.3019981384277344,0.098935842514038,-0.341155856847763
42,0.8091806640625,1.0535945892333984,0.0501682758331298,-0.3935363292694092
43,0.82501904296875,1.5996198654174805,-0.0376477241516113,-0.310917854309082
44,0.840827392578125,1.2412605285644531,-0.1635651588439941,-0.1844710558652877
45,0.85672705078125,1.053497314453125,-0.1061224937438964,-0.4527478516101837
46,0.87253515625,0.9728059768676758,-0.4241271018981933,-1.008360743522644
47,0.888404296875,1.40826416015625,-0.4519015550613403,-0.9234559535980223
48,0.904212158203125,1.921133041381836,-0.5348637104034424,-1.1834871768951416
49,0.919989990234375,2.4613771438598637,-0.7304266691207886,-1.7753961086273191
50,0.9358896484375,2.388934135437012,-0.8694556951522827,-2.0526344776153564
51,0.95163671875,1.866504669189453,-1.1914371252059937,-1.6224604845046997
52,0.967536376953125,1.3687772750854492,-1.6600289344787598,-1.3540284633636477
53,0.983344482421875,1.4207944869995115,-1.730351805686951,-1.4724568128585815
54,0.999244140625,1.536418914794922,-1.6066064834594729,-1.8565545082092283
55,1.01511328125,1.8923463821411133,-1.3597815036773682,-2.1455392837524414
56,1.030951904296875,1.5842819213867188,-1.3214309215545654,-2.3425440788269043
57,1.04682080078125,1.268878936767578,-1.1185271739959717,-2.422440528869629
58,1.06265966796875,1.0196514129638672,-0.9829481840133668,-2.343126058578491
59,1.0784677734375,0.4025325775146484,-0.8907151222229004,-2.228501319885254
60,1.094367431640625,-0.5060691833496094,-0.8199646472930908,-1.982892632484436
61,1.110175537109375,-1.5957365036010742,-0.5058002471923828,-1.8037900924682615
62,1.1260751953125,-2.1545324325561523,-0.3317694067955017,-1.795686960220337
63,1.141913818359375,-2.2830138206481934,-0.1593970656394958,-1.5749791860580444
64,1.15778271484375,-2.0793795585632324,-0.016326904296875,-1.1626126766204834
65,1.17365185546875,-2.148258209228516,0.1065577268600463,-0.837670087814331
66,1.18949072265625,-2.167449474334717,0.1557914018630981,-0.5587643980979919
67,1.20548193359375,-1.851746082305908,0.2480585575103759,-0.3323334753513336
68,1.2212900390625,-2.127427577972412,0.4192040562629699,-0.1701712608337402
69,1.2371591796875,-2.764023303985596,0.6824235320091248,-0.21576789021492
70,1.2530283203125,-3.72635555267334,0.9624554514884948,-0.6606582403182983
71,1.26883642578125,-3.805017471313477,1.2202112674713137,-0.7460955381393433
72,1.284766357421875,-3.0063376426696777,1.247902512550354,-0.6689106822013855
